tweets,label,case_folding,cleansing,tokenizing,stopword,stemming
Vaksinasi tersebut diberikan untuk masyarakat yang berdomisili maupun warga asli DKI Jakarta.  Pelaksanaan vaksinasi di DKI ini juga dibarengi dengan sejumlah syarat.,1.0,vaksinasi tersebut diberikan untuk masyarakat yang berdomisili maupun warga asli dki jakarta.  pelaksanaan vaksinasi di dki ini juga dibarengi dengan sejumlah syarat.,vaksinasi tersebut diberikan untuk masyarakat yang berdomisili maupun warga asli dki jakarta pelaksanaan vaksinasi di dki ini juga dibarengi dengan sejumlah syarat,"['vaksinasi', 'tersebut', 'diberikan', 'untuk', 'masyarakat', 'yang', 'berdomisili', 'maupun', 'warga', 'asli', 'dki', 'jakarta', 'pelaksanaan', 'vaksinasi', 'di', 'dki', 'ini', 'juga', 'dibarengi', 'dengan', 'sejumlah', 'syarat']","['vaksinasi', 'masyarakat', 'berdomisili', 'warga', 'asli', 'dki', 'jakarta', 'pelaksanaan', 'vaksinasi', 'dki', 'dibarengi', 'syarat']","['vaksinasi', 'masyarakat', 'domisili', 'warga', 'asli', 'dki', 'jakarta', 'laksana', 'vaksinasi', 'dki', 'bareng', 'syarat']"
Reposted from Puskesmas Kec. Kemayoran  ADA KABAR GEMBIRA ‼️‼️‼️  SOBAT SEHAT KEMAYORAN VAKSIN USIA 18+ TAHUN SUDAH DI MULAI 📢📢😁😁  Pemerintah Provinsi DKI Jakarta resmi membuka penyelenggaraan vaksinasi Covid-19 untuk masyarakat umum usia 18 tahun ke atas. https://t.co/jq6qMCVmAD,1.0,reposted from puskesmas kec. kemayoran  ada kabar gembira ‼️‼️‼️  sobat sehat kemayoran vaksin usia 18+ tahun sudah di mulai 📢📢😁😁  pemerintah provinsi dki jakarta resmi membuka penyelenggaraan vaksinasi covid-19 untuk masyarakat umum usia 18 tahun ke atas. https://t.co/jq6qmcvmad,reposted from puskesmas kec kemayoran ada kabar gembira sobat sehat kemayoran vaksin usia tahun sudah di mulai pemerintah provinsi dki jakarta resmi membuka penyelenggaraan vaksinasi covid untuk masyarakat umum usia tahun ke atas,"['reposted', 'from', 'puskesmas', 'kec', 'kemayoran', 'ada', 'kabar', 'gembira', 'sobat', 'sehat', 'kemayoran', 'vaksin', 'usia', 'tahun', 'sudah', 'di', 'mulai', 'pemerintah', 'provinsi', 'dki', 'jakarta', 'resmi', 'membuka', 'penyelenggaraan', 'vaksinasi', 'covid', 'untuk', 'masyarakat', 'umum', 'usia', 'tahun', 'ke', 'atas']","['reposted', 'kemayoran', 'kabar', 'gembira', 'sobat', 'sehat', 'kemayoran', 'vaksin', 'usia', 'provinsi', 'dki', 'jakarta', 'resmi', 'membuka', 'penyelenggaraan', 'vaksinasi', 'covid', 'masyarakat', 'usia']","['reposted', 'mayor', 'kabar', 'gembira', 'sobat', 'sehat', 'mayor', 'vaksin', 'usia', 'provinsi', 'dki', 'jakarta', 'resmi', 'buka', 'selenggara', 'vaksinasi', 'covid', 'masyarakat', 'usia']"
"@jokowi ingin percepatan vaksinasi ditempat yg interaksinya tinggi seperti baik itu stasiun kereta , terminal bus  , airport dan pelabuhan. https://t.co/6luZlf4DEi",1.0,"@jokowi ingin percepatan vaksinasi ditempat yg interaksinya tinggi seperti baik itu stasiun kereta , terminal bus  , airport dan pelabuhan. https://t.co/6luzlf4dei",ingin percepatan vaksinasi ditempat yg interaksinya tinggi seperti baik itu stasiun kereta terminal bus airport dan pelabuhan,"['ingin', 'percepatan', 'vaksinasi', 'ditempat', 'yg', 'interaksinya', 'tinggi', 'seperti', 'baik', 'itu', 'stasiun', 'kereta', 'terminal', 'bus', 'airport', 'dan', 'pelabuhan']","['percepatan', 'vaksinasi', 'ditempat', 'interaksinya', 'stasiun', 'bus', 'airport', 'pelabuhan']","['cepat', 'vaksinasi', 'tempat', 'interaksi', 'stasiun', 'bus', 'airport', 'labuh']"
"Vaksinasi Massal di Kabupaten Bogor Sukses, Total Pendaftar Online Mencapai 16.857 Orang https://t.co/5NprUCmcYj",1.0,"vaksinasi massal di kabupaten bogor sukses, total pendaftar online mencapai 16.857 orang https://t.co/5nprucmcyj",vaksinasi massal di kabupaten bogor sukses total pendaftar online mencapai orang,"['vaksinasi', 'massal', 'di', 'kabupaten', 'bogor', 'sukses', 'total', 'pendaftar', 'online', 'mencapai', 'orang']","['vaksinasi', 'massal', 'bogor', 'sukses', 'total', 'pendaftar', 'online', 'mencapai']","['vaksinasi', 'massal', 'bogor', 'sukses', 'total', 'daftar', 'online', 'capai']"
"Ini kalau misalnya beneran kuliahnya tatap muka langsung, boleh nggak ya saya minta supaya syarat ngambil MK yang saya ampu itu adalah sudah vaksinasi?",1.0,"ini kalau misalnya beneran kuliahnya tatap muka langsung, boleh nggak ya saya minta supaya syarat ngambil mk yang saya ampu itu adalah sudah vaksinasi?",ini kalau misalnya beneran kuliahnya tatap muka langsung boleh nggak ya saya minta supaya syarat ngambil mk yang saya ampu itu adalah sudah vaksinasi,"['ini', 'kalau', 'misalnya', 'beneran', 'kuliahnya', 'tatap', 'muka', 'langsung', 'boleh', 'nggak', 'ya', 'saya', 'minta', 'supaya', 'syarat', 'ngambil', 'mk', 'yang', 'saya', 'ampu', 'itu', 'adalah', 'sudah', 'vaksinasi']","['beneran', 'kuliahnya', 'tatap', 'muka', 'syarat', 'ngambil', 'mk', 'ampu', 'vaksinasi']","['beneran', 'kuliah', 'tatap', 'muka', 'syarat', 'ngambil', 'mk', 'ampu', 'vaksinasi']"
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat. https://t.co/ES0QYEX22u",1.0,"tinjau vaksinasi 1.300 karyawan tekstil, kapolri minta tracing dan testing diperkuat. https://t.co/es0qyex22u",tinjau vaksinasi karyawan tekstil kapolri minta tracing dan testing diperkuat,"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'kapolri', 'minta', 'tracing', 'dan', 'testing', 'diperkuat']","['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'diperkuat']","['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat']"
Begini Cara Sukun Sukseskan Vaksinasi Covid-19 Bagi Lansia dan Masyarakat Kudus.  Selengkapnya klik tautan berikut ini.  #Kudus #Sukun #Vaksinasi #Covid19 #Lansia #Masyarakat #Umum   https://t.co/S341pcHGly,1.0,begini cara sukun sukseskan vaksinasi covid-19 bagi lansia dan masyarakat kudus.  selengkapnya klik tautan berikut ini.  #kudus #sukun #vaksinasi #covid19 #lansia #masyarakat #umum   https://t.co/s341pchgly,begini cara sukun sukseskan vaksinasi covid bagi lansia dan masyarakat kudus selengkapnya klik tautan berikut ini,"['begini', 'cara', 'sukun', 'sukseskan', 'vaksinasi', 'covid', 'bagi', 'lansia', 'dan', 'masyarakat', 'kudus', 'selengkapnya', 'klik', 'tautan', 'berikut', 'ini']","['sukun', 'sukseskan', 'vaksinasi', 'covid', 'lansia', 'masyarakat', 'selengkapnya', 'klik', 'tautan']","['sukun', 'sukses', 'vaksinasi', 'covid', 'lansia', 'masyarakat', 'lengkap', 'klik', 'taut']"
"Program Vaksinasi Gotong Royong yang diinisiasi pelaku usaha melalui KADIN bertujuan mempercepat pemberian vaksin kepada para pekerja. Pengadaan vaksin untuk program tersebut sepenuhnya dibiayai oleh perusahaan, tidak dibebankan ke karyawan. https://t.co/LhDWgHrNCd",1.0,"program vaksinasi gotong royong yang diinisiasi pelaku usaha melalui kadin bertujuan mempercepat pemberian vaksin kepada para pekerja. pengadaan vaksin untuk program tersebut sepenuhnya dibiayai oleh perusahaan, tidak dibebankan ke karyawan. https://t.co/lhdwghrncd",program vaksinasi gotong royong yang diinisiasi pelaku usaha melalui kadin bertujuan mempercepat pemberian vaksin kepada para pekerja pengadaan vaksin untuk program tersebut sepenuhnya dibiayai oleh perusahaan tidak dibebankan ke karyawan,"['program', 'vaksinasi', 'gotong', 'royong', 'yang', 'diinisiasi', 'pelaku', 'usaha', 'melalui', 'kadin', 'bertujuan', 'mempercepat', 'pemberian', 'vaksin', 'kepada', 'para', 'pekerja', 'pengadaan', 'vaksin', 'untuk', 'program', 'tersebut', 'sepenuhnya', 'dibiayai', 'oleh', 'perusahaan', 'tidak', 'dibebankan', 'ke', 'karyawan']","['program', 'vaksinasi', 'gotong', 'royong', 'diinisiasi', 'pelaku', 'usaha', 'kadin', 'bertujuan', 'mempercepat', 'pemberian', 'vaksin', 'pekerja', 'pengadaan', 'vaksin', 'program', 'sepenuhnya', 'dibiayai', 'perusahaan', 'dibebankan', 'karyawan']","['program', 'vaksinasi', 'gotong', 'royong', 'inisiasi', 'laku', 'usaha', 'kadin', 'tuju', 'cepat', 'beri', 'vaksin', 'kerja', 'ada', 'vaksin', 'program', 'sepenuh', 'biaya', 'usaha', 'beban', 'karyawan']"
"Pemerintah terus berupaya mewujudkan _herd immunity_. Salah satu yang dilakukan untuk mewujudkan hal tersebut adalah dengan adanya program vaksinasi. Semakin cepat terlaksananya program vaksinasi, maka semakin cepat juga kekebalan komunal terbentuk. https://t.co/Mn7KVOsH6Y",1.0,"pemerintah terus berupaya mewujudkan _herd immunity_. salah satu yang dilakukan untuk mewujudkan hal tersebut adalah dengan adanya program vaksinasi. semakin cepat terlaksananya program vaksinasi, maka semakin cepat juga kekebalan komunal terbentuk. https://t.co/mn7kvosh6y",pemerintah terus berupaya mewujudkan _herd immunity_ salah satu yang dilakukan untuk mewujudkan hal tersebut adalah dengan adanya program vaksinasi semakin cepat terlaksananya program vaksinasi maka semakin cepat juga kekebalan komunal terbentuk,"['pemerintah', 'terus', 'berupaya', 'mewujudkan', '_herd', 'immunity_', 'salah', 'satu', 'yang', 'dilakukan', 'untuk', 'mewujudkan', 'hal', 'tersebut', 'adalah', 'dengan', 'adanya', 'program', 'vaksinasi', 'semakin', 'cepat', 'terlaksananya', 'program', 'vaksinasi', 'maka', 'semakin', 'cepat', 'juga', 'kekebalan', 'komunal', 'terbentuk']","['berupaya', 'mewujudkan', '_herd', 'immunity_', 'salah', 'mewujudkan', 'program', 'vaksinasi', 'cepat', 'terlaksananya', 'program', 'vaksinasi', 'cepat', 'kekebalan', 'komunal', 'terbentuk']","['upaya', 'wujud', 'herd', 'immunity', 'salah', 'wujud', 'program', 'vaksinasi', 'cepat', 'laksana', 'program', 'vaksinasi', 'cepat', 'kebal', 'komunal', 'bentuk']"
Peningkatan kasus positif corona harus segera ditangani. Ini beberapa strategi pemerintah dalam menghadapi pandemi covid-19.   Salah satu strategi dengan pelaksanaan vaksinasi 1 juta dosis per hari. Semoga program ini bisa sukses dan pandemi berakhir. https://t.co/PDuHLxlujO,1.0,peningkatan kasus positif corona harus segera ditangani. ini beberapa strategi pemerintah dalam menghadapi pandemi covid-19.   salah satu strategi dengan pelaksanaan vaksinasi 1 juta dosis per hari. semoga program ini bisa sukses dan pandemi berakhir. https://t.co/pduhlxlujo,peningkatan kasus positif corona harus segera ditangani ini beberapa strategi pemerintah dalam menghadapi pandemi covid salah satu strategi dengan pelaksanaan vaksinasi juta dosis per hari semoga program ini bisa sukses dan pandemi berakhir,"['peningkatan', 'kasus', 'positif', 'corona', 'harus', 'segera', 'ditangani', 'ini', 'beberapa', 'strategi', 'pemerintah', 'dalam', 'menghadapi', 'pandemi', 'covid', 'salah', 'satu', 'strategi', 'dengan', 'pelaksanaan', 'vaksinasi', 'juta', 'dosis', 'per', 'hari', 'semoga', 'program', 'ini', 'bisa', 'sukses', 'dan', 'pandemi', 'berakhir']","['peningkatan', 'positif', 'corona', 'ditangani', 'strategi', 'menghadapi', 'pandemi', 'covid', 'salah', 'strategi', 'pelaksanaan', 'vaksinasi', 'juta', 'dosis', 'semoga', 'program', 'sukses', 'pandemi']","['tingkat', 'positif', 'corona', 'tangan', 'strategi', 'hadap', 'pandemi', 'covid', 'salah', 'strategi', 'laksana', 'vaksinasi', 'juta', 'dosis', 'moga', 'program', 'sukses', 'pandemi']"
Vaksinasi Massal untuk Penghuni Apartemen Gading Mediterania https://t.co/QzBDTJYuiy,1.0,vaksinasi massal untuk penghuni apartemen gading mediterania https://t.co/qzbdtjyuiy,vaksinasi massal untuk penghuni apartemen gading mediterania,"['vaksinasi', 'massal', 'untuk', 'penghuni', 'apartemen', 'gading', 'mediterania']","['vaksinasi', 'massal', 'penghuni', 'apartemen', 'gading', 'mediterania']","['vaksinasi', 'massal', 'huni', 'apartemen', 'gading', 'mediterania']"
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat  Panglima TNI Marsekal TNI Dr. (H.C) Hadi Tjahjanto, S.I.P., bersama Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/vFPjoDN83e., meninjau langsung pelaksanaan vaksinasi. https://t.co/HHyKJR6aC1",1.0,"tinjau vaksinasi 1.300 karyawan tekstil, kapolri minta tracing dan testing diperkuat  panglima tni marsekal tni dr. (h.c) hadi tjahjanto, s.i.p., bersama kapolri jenderal polisi drs. listyo sigit prabowo, https://t.co/vfpjodn83e., meninjau langsung pelaksanaan vaksinasi. https://t.co/hhykjr6ac1",tinjau vaksinasi karyawan tekstil kapolri minta tracing dan testing diperkuat panglima tni marsekal tni dr   hadi tjahjanto    bersama kapolri jenderal polisi drs listyo sigit prabowo meninjau langsung pelaksanaan vaksinasi,"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'kapolri', 'minta', 'tracing', 'dan', 'testing', 'diperkuat', 'panglima', 'tni', 'marsekal', 'tni', 'dr', 'hadi', 'tjahjanto', 'bersama', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'meninjau', 'langsung', 'pelaksanaan', 'vaksinasi']","['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'diperkuat', 'jenderal', 'sigit', 'meninjau', 'pelaksanaan', 'vaksinasi']","['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat', 'jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi']"
"Masih Tinggi Kasus Covid, Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Kudus. https://t.co/RzzbIp3tLq",0.0,"masih tinggi kasus covid, panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura kudus. https://t.co/rzzbip3tlq",masih tinggi kasus covid panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura kudus,"['masih', 'tinggi', 'kasus', 'covid', 'panglima', 'tni', 'dan', 'kapolri', 'tinjau', 'vaksinasi', 'di', 'pabrik', 'sukuntex', 'dan', 'pura', 'kudus']","['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']","['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']"
"Masih Tinggi Kasus Covid, Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Kudus. https://t.co/ClGtuzRWY4",0.0,"masih tinggi kasus covid, panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura kudus. https://t.co/clgtuzrwy4",masih tinggi kasus covid panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura kudus,"['masih', 'tinggi', 'kasus', 'covid', 'panglima', 'tni', 'dan', 'kapolri', 'tinjau', 'vaksinasi', 'di', 'pabrik', 'sukuntex', 'dan', 'pura', 'kudus']","['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']","['covid', 'tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura']"
"Pertambahan hari ini = 4.144 orang (tertinggi dalam 4 bulan terakhir) dengan positivity rate 33,2% dari 23.913 spesimen. Positivity rate kembali meningkat setelah 4 bulan menurun. Vaksinasi dan tracing serta swab test perlu ditingkatkan setidaknya mendekati standar WHO https://t.co/lFUPves9Vq",0.0,"pertambahan hari ini = 4.144 orang (tertinggi dalam 4 bulan terakhir) dengan positivity rate 33,2% dari 23.913 spesimen. positivity rate kembali meningkat setelah 4 bulan menurun. vaksinasi dan tracing serta swab test perlu ditingkatkan setidaknya mendekati standar who https://t.co/lfupves9vq",pertambahan hari ini orang tertinggi dalam bulan terakhir dengan positivity rate dari spesimen positivity rate kembali meningkat setelah bulan menurun vaksinasi dan tracing serta swab test perlu ditingkatkan setidaknya mendekati standar who,"['pertambahan', 'hari', 'ini', 'orang', 'tertinggi', 'dalam', 'bulan', 'terakhir', 'dengan', 'positivity', 'rate', 'dari', 'spesimen', 'positivity', 'rate', 'kembali', 'meningkat', 'setelah', 'bulan', 'menurun', 'vaksinasi', 'dan', 'tracing', 'serta', 'swab', 'test', 'perlu', 'ditingkatkan', 'setidaknya', 'mendekati', 'standar', 'who']","['pertambahan', 'tertinggi', 'positivity', 'rate', 'spesimen', 'positivity', 'rate', 'meningkat', 'menurun', 'vaksinasi', 'tracing', 'swab', 'test', 'ditingkatkan', 'mendekati', 'standar', 'who']","['tambah', 'tinggi', 'positivity', 'rate', 'spesimen', 'positivity', 'rate', 'tingkat', 'turun', 'vaksinasi', 'tracing', 'swab', 'test', 'tingkat', 'dekat', 'standar', 'who']"
@jokowi meninjau pelaksanaan vaksinasi didampingi oleh Mentri kesehatan dan Direktur utama PT.KAI https://t.co/oRYka64PU5,1.0,@jokowi meninjau pelaksanaan vaksinasi didampingi oleh mentri kesehatan dan direktur utama pt.kai https://t.co/oryka64pu5,meninjau pelaksanaan vaksinasi didampingi oleh mentri kesehatan dan direktur utama pt kai,"['meninjau', 'pelaksanaan', 'vaksinasi', 'didampingi', 'oleh', 'mentri', 'kesehatan', 'dan', 'direktur', 'utama', 'pt', 'kai']","['meninjau', 'pelaksanaan', 'vaksinasi', 'didampingi', 'mentri', 'kesehatan', 'direktur', 'utama', 'kai']","['tinjau', 'laksana', 'vaksinasi', 'damping', 'tri', 'sehat', 'direktur', 'utama', 'kai']"
Hujan angin disertai es sebabkan tenda vaksinasi di GBLA Bandung roboh #StayTunedElshinta  https://t.co/cvQbnpJ0Gw,0.0,hujan angin disertai es sebabkan tenda vaksinasi di gbla bandung roboh #staytunedelshinta  https://t.co/cvqbnpj0gw,hujan angin disertai es sebabkan tenda vaksinasi di gbla bandung roboh,"['hujan', 'angin', 'disertai', 'es', 'sebabkan', 'tenda', 'vaksinasi', 'di', 'gbla', 'bandung', 'roboh']","['disertai', 'sebabkan', 'tenda', 'vaksinasi', 'roboh']","['serta', 'sebab', 'tenda', 'vaksinasi', 'roboh']"
