tweets,label
"""Kita harapkan tetap bekerja keras mempercepat program vaksinasi ini. Secepat-cepatnya target vaksinasi ini paling tidak di Kabupaten Bogor, bulan Agustus sudah tercapai kekebalan komunal,"" tandas Presiden.",1
"Presiden Joko Widodo berharap agar semua pihak dapat terus bekerja keras untuk mempercepat program vaksinasi. Dengan vaksinasi ini, Presiden menargetkan Kabupaten Bogor dapat mencapai kekebalan komunal pada bulan Agustus.",1
"""Saya kira terus dilanjutkan karena kita membutuhkan percepatan vaksinasi ini dalam rangka mencapai kekebalan komunal (herd immunity) yang kita harapkan penyebaran Covid ini bisa kita hambat,"" jelas Presiden. https://t.co/jH38gPQnrX",1
"Sebanyak 200 peserta melakukan vaksinasi di RS Permata Jonggol, 200 peserta di RS EMC Sentul, 300 peserta di RS Bina Husada, 300 peserta di Puskesmas Cimandala, 400 peserta di Puskesmas Citeureup, dan 300 peserta di Puskesmas Karadenan https://t.co/HkQIjHc2Yp",1
"Dalam kesempatan tersebut, Presiden juga berbincang melalui konferensi video dengan perwakilan dari tiga RS dan tiga Puskesmas (PKM) yang mengadakan vaksinasi. Mereka adalah RS Permata Jonggol, RS EMC Sentul, RS Bina Husada, PKM Cimandala, PKM Citeureup, dan PKM Karadenan. https://t.co/13yWTEednU",1
"Sasaran vaksinasi pada hari ini ditujukan untuk berbagai kalangan masyarakat, mulai dari kaum lanjut usia (lansia), pendidik, pedagang pasar, tokoh agama, pegawai pemerintah, pelayan publik, difabel, pelaku transportasi, hingga masyarakat rentan lainnya. https://t.co/YUT0eSFbYV",1
"Presiden @jokowi meninjau vaksinasi bagi sekitar 5.000 masyarakat di Stadion Pakansari, Cibinong, Kabupaten Bogor, Jawa Barat, pada Kamis, 17 Juni 2021 Secara keseluruhan, sasaran vaksinasi di Kabupaten Bogor pada hari ini yaitu sebanyak 10.000 org yg tersebar di sejumlah tempat https://t.co/nLmMoe7MNB",1
"Gw memang sempat agak khawatir utk vaksinasi AZ krn punya penyakit asma, walau cuma asma ringan.   Ini 8 jam setelah vaksin AZ, ga ada gejala sama sekali. Masih aman. Cuma agak pegel aja di lengan kiri di sekitar yg disuntik. Semoga 2-3 hari ke depan tetap aman. 🙏🏻",1
LAUCHING GERAI PELAKSANAAN VAKSINASI COVID-19 https://t.co/ekbHmT96nV https://t.co/mILMfyyzX5,1
"Upaya Ciptakan Herd Imunity, Polda Sumbar Akan Berikan Vaksinasi Gratis pada Masyarakat https://t.co/0e0izFXmBG",1
@jokowi ingin mempercepat vaksinasi di tempat dengan mobilitas dan interaksi tinggi. https://t.co/P4KlbG7qe6,1
"@CommuterLine min, apakah besok masih dijadwalkan untuk vaksinasi masyarakat umum di stasiun bogor? Makasih",1
vaksinasi merupakan upaya pemerintah dalam membendung penularan virus di masa pandemi. https://t.co/5FnNlBTobn,1
"Tinjau Vaksinasi Stasiun Bogor, Jokowi: Di Sini Penting Karena Mobilitas Tinggi https://t.co/0oMbgVVchO",1
"Pemprov DKI Jakarta resmi menggelar vaksinasi Covid-19 untuk masyarakat umum dengan syarat berusia lebih dari 18 tahun.  Pelaksanaan vaksinasi diberikan dengan tetap memprioritaskan tenaga kesehatan,kelompok lanjut usia, dan pelayan publik.  Berikut Syarat  Cara Pendaftarannya. https://t.co/mnfdhQCA3C",1
Ade Yasin Dampingi Presiden Jokowi Tinjau Vaksinasi Massal di Stadion Pakansari - https://t.co/SGELjicJzw,1
"Strategi Tangani Covid-19 di Kudus, Panglima TNI: Percepat Vaksinasi dan Perketat PPKM Mikro.  Selengkapnya klik tautan berikut ini.  #Kudus #Panglima #TNI #Percepat #Vaksinasi   https://t.co/UoRfJniB1c",1
Pilihan 5: Percepatkan vaksinasi dan pilih semula. https://t.co/yGnhyUXivz,1
"Janji vaksinasi cepat tapi gagal, penyebab situasi mencekam teror covid. Sebetulnya vaksinnya ada atau tidak, kalau tidak ada atau cuma sedikit dapatnya, JUJUR.",0
"Tinjau Vaksinasi di Bandung, Panglima dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai  https://t.co/YcHapjuIVQ",1
Hati2 vaksinasi ngasuu...udah di tunggangi kpentingan rrc...genosida terselubung...!! https://t.co/4RqiE3tj1K,0
Fokus Penyampaian Maklumat : 📌 Pelanjutan pelaksanaan Perintah Kawalan Pergerakan (PKP) 3.0 'Total Lockdown' Fasa 1 sehingga 28 Jun 2021  📌 Trak Vaksinasi Bergerak MYMedic@Wilayah    📌 Program Imunisasi COVID-19 Kebangsaan  📌 Kempen Putuskan Rantaian COVID-19  #IOW https://t.co/ORPj8rX7SB,
"dengar cerita form 5 akan diutamakan untuk vaksinasi supaya boleh masuk sekolah awal, betul ke ? 😳",1
Vaksinasi COVID-19 secara massal yang dilaksanakan di Lapangan Ahmad Kirang Mamuju disambut antusiasme warga. #publisherstory https://t.co/cl26yXrQ3r,1
"Jangan ragu lagi, segera lakukan vaksinasi COVID-19 agar tubuh terlindungi!  Kamu dapat daftar dan pilih jadwal vaksinasimu lewat JAKI atau https://t.co/D8ua2c5vPR   #vaksinastrazeneca #astrazeneca #JakartaTanggapCorona #jaki #JAKIBikinGampangVaksinasi #dkijakarta #kotakolaborasi",1
sebanyak 5.000 warga dari Bandung raya lakukan vaksinasi. https://t.co/ciaHxfWWoz,1
"Dokumentasi Pelaksanaan Vaksinasi Covid-19 Massal bagi 2.000 pegawai Retail Modern di Hotel Grand Asrilia, Rabu (16/06/2021). Kegiatan ini terselenggara atas kerja sama @Bandung_Dinkes @disdagin_bdg  Aprindo • @ahyaniR13 @halo_bandung https://t.co/mFAGdND3r1",1
"Tinjau Vaksinasi di Bandung, Panglima dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/nlK0ozIgyS",1
"Sebagai Bentuk Dukungan Program Pemerintah Dalam Percepatan Pemberian Vaksin,  Polda Lampung Kembali Gelar Vaksinasi Covid-19 https://t.co/0OhzK0drBG",1
"@HaiMagazine Denger² sih si dave jadi semacam duta vaksinasi ya, apa gw yang salah denger",0
"@enung_666 @JogjaUpdate Setelah vaksin ketika dicek Rapid antibodi jelas hasilnya akan reaktif... Karena dengan vaksinasi akan memunculkan antibodi yang akan ""melawan"" virus c19... Sedangkan kasus positif dilihat dengan Swab PCR dan Rapid antigen... Bukan rapid antibodi...",1
Pendaftaran vaksinasi covid di bandung tuh kemana yah?,1
"Kabupaten tempat aku tinggal tahapan vaksinasi nya masih usia 60 keatas. Sementara itu, kota sebelah udah buka usia 18 tahun keatas. 😴😴",0
"Analisis  evaluasi yg dilakukan @kemendagri melihat adanya kecenderungan masyakarat mulai jenuh dlm penerapan 5M. Bp Tito menegaskan prokes adalah senjata utama dlm memutus rantai penyebaran Covid-19, disamping upaya vaksinasi utk menciptakan kekebalan kelompok / herd immunity.",1
250 Warga Semanan Vaksinasi Covid di Pabrik Rider. https://t.co/tKdpWlF7A1  #PemkotJB #PemprovDKIJakarta #JagaJakarta #SukseskanVaksinasi #JakartaTanggapCorona https://t.co/XKke6p1M8l,1
"Tinjau Vaksinasi di Bandung, Panglima dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/ZJzC1iuCNX",1
"Semua warga ber-KTP atau domisili atau bekerja di Jakarta yang telah berusia 18+, Bisa download aplikasi JAKI. Atau kunjungi website https://t.co/IlNFYHqo2Q   Jadi ga perlu pusing lagi karena ga kebagian nomer antrian ya 😉",1
"Yak 58 jam setelah vaksinasi yg gua kira bakalan kelar gejala pasca vaksinasinya ternyata (kayaknya) masih berlanjut, jam 7 tadi tiba2 pala pening, perut berasa mual dan badan keluar keringet dingin.",0
Sekitar Program #InfoOnWheels dari Penerangan Johor Bahru  Kempen Kesedaran Daftar Vaksinasi Covid -19 sekitar Skudai.  #MenangBersama  #LindungDiriLindungSemua  #VaksinasiCovid19 https://t.co/p4SkWiqbEu,
Parah! Kasus Baru Covid-19 DKI Meroket Lampaui 4000 https://t.co/Qglb5khKwo  #moeslimchoice #COVIDVaccination #COVID19 #DKIJakarta #kasuscovid #jakartapusat #Covid_19 #vaksinasi #VaksinPastiPulihkanRI,0
Vaksinasi ini bagian dari program 1 juta vaksin COVID-19 per hari. https://t.co/P0xcZv33uK,1
Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Terban Kudus https://t.co/t5ij9eHIAn,1
Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Terban Kudus https://t.co/UAzCNFPHRQ,1
Ya Allah pengen vaksinasi 🥺🙏🙏,1
"Vaksinasi mencegah bergejala berat,tidak mencegah keterpaparan,saat lonjakan kasus hrusnya kebijakan lbh fokus,pd antisipasi keterbatasan faskes dan nakes https://t.co/wBKHz9XiKZ",1
"Meski masih dibayangi ketidakpastian global, ekonomi Indonesia berpotensi segera pulih dari resesi. Salah satu syaratnya adalah pengendalian pandemi Covid-19 dan vaksinasi. #Ekonomi #AdadiKompas  https://t.co/ryQ3vGOZUc",1
"Bupati Hartopo  Gubernur Ganjar Pranowo mendampingi Kapolri Jenderal Listyo Sigit P, Panglima TNI Marsekal Hadi Tjahjanto, Menkes RI Budi Sadikin,  Ketua Satgas Covid-19 RI sekaligus Kepala BNPB Letjen Ganip Warsito tinjau vaksinasi yg dilaksanakan di PT Sukun Tex, Kamis (17/6) https://t.co/W9Wg9YXIPA",1
"Dapat Jatah Vaksin Lebih Banyak, Dinkes Pekanbaru Tak Batasi Lagi Vaksinasi ke Warga https://t.co/zjHnh5gpHD https://t.co/0F8z37stcl",1
Agnez Mo menyediakan klinik vaksinasi Covid-19 gratis bagi masyarakat umum. Muzdalifah merayakan pertambahan usianya bersama orang-orang terdekat. https://t.co/JpSYNVviCV,1
menelan uang ratusan miliar jdi bingung skrg wacana vaksinasi udh sampai mana progresnya. atau hakikatnya kita lbh cocok jd barbarianisme? https://t.co/lPMICLpLjH,0
"Di Kudus Bersama Panglima TNI, Kapolri Harap Peran Aktif Masyarakat Sosialisasikan Vaksinasi https://t.co/q4ul4Uf9df",1
Babinsa Somogede Koramil 09/Pituruh bersama Bhabinkamtibmas Dampingi Vaksinasi Lansia https://t.co/V3WS3VCRJi,1
"Menteri Pengangkutan Wee Ka Siong berkata, ini akan membantu mempercepatkan vaksinasi dalam kalangan kira-kira 250,000 pekerja sektor itu. #FMTNews #KJ #BAS #WeeKaSiong https://t.co/iuml0a0CbN",1
"Vaksinasi ini sebagai upaya untuk memutus penyebaran Covid-19, menciptakan kekebalan bagi tubuh dan melindungi diri. #publisherstory https://t.co/5wQ7owJxZq",1
"@widessss_ Paling sebel sama orang yg anggep klo vaksin itu hanya untuk hewan, terus pada alesan buat gak mau divaksinasi 🤦  Menurutku masih kurang penyuluhan tentang vaksinasi kususnya didaerah terpencil/pedesaan",0
Kalau atas tujuan vaksinasi boleh naik kereta 3 orang tak ?,1
"Selain meninjau pelaksanaan vaksinasi, Panglima TNI dan Kapolri juga melakukan sidak (inspeksi mendadak) dalam pelaksanaan PPKM Mikro di Kecamatan Bae, Kudus.",1
@drpriono1 belum ada KLASTER vaksinasi? https://t.co/hbPZGsq4gY,0
Saya mahukan seramai mungkin rakyat Kedah terutamanya di kawasan Sungai Petani dan sekitarnya untuk sama-sama mendaftar bagi mendapatkan vaksinasi Covid 19. https://t.co/eeKOV9E0VV,1
Panglima TNI dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/wB25ZF6hcM,1
"Yaya, paham gw. Ketersediaan.  Tapi gw tetep panik soalnya ini kenapa lonjakannya tinggi banget dan for God's sake di jalanan gw liat kuli2 atau orang2 pada gapake masker yak?  Are you all desperate to...  Dah lah. Wajibkan aja vaksinasi sih ampun 😷",0
"Kapolri berharap, peran aktif masy utk mensosialisasikan program vaksinasi yg tengah digalakan olh pemerintah. Disamping itu, Kapolri ini meminta agar stakeholder terkait memaksimalkan PPKM Mikro yakni dgn mengurangi mobilitas masyarakat dlm upaya menekan laju penularan Covid-19. https://t.co/sfP1D3ezl0",1
Wapres Tinjau Pelaksanaan Vaksinasi di Pemkot Tangerang  https://t.co/wGo3Nh5oUX  #Nasional #Politik #Wapres #Kesehatan #Vaksinasi #Covid_19,1
Menimbulkan KERUMUNAN! Ombudsman Kepri Minta Taknis Vaksinasi Dikaji Ulang    https://t.co/vI7pPVIMIt,0
"Panglima TNI Marsekal TNI Dr. (H.C) Hadi Tjahjanto, S.I.P., bersama Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/c9XuE6N0er., meninjau langsung pelaksanaan vaksinasi terhadap 1.300 karyawan tekstil di Kudus, Jawa Tengah, Kamis (17/6/2021). https://t.co/s0ew6StzBd",1
"#Indonesia #Korona-Kabupaten Kudus di Jawa Tengah - melaporkan bahwa lebih dari 350 dokter dan pekerja medis telah tertangkap #COVID19, meskipun vaksinasi Sinovac. #Java-Report of 350+ doctors, med staff get #Coronavirus despite #PRC #Sinovac #COVIDVaccine https://t.co/UEF3aSYz9a",0
"Biddokkes Polda Lampung, Polres Tubaba dan Dinkes Gelar Vaksinasi Massal https://t.co/UfhTdaOp8a",1
Panglima TNI: Tekan COVID-19 di Kudus dengan percepatan vaksinasi. https://t.co/Q2EUXtFt8u https://t.co/ZfSaWHxp7y,1
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat https://t.co/rrxT1a65X4",1
@infobdg min tau info pendaftaran vaksinasi covid di bandung itu kemana ya? Makasi,1
Panglima TNI : Strategi TNI-Polri Percepat Vaksinasi Nasional https://t.co/HCATRBuhGy,1
Panglima TNI : Strategi TNI-Polri Percepat Vaksinasi Nasional https://t.co/HZkfnhASO6,1
Dah sih vaksinasi jangan kebanyakan syarat.  Apa salahnya sih KTP dari mana aja vaksin? Kan WNI juga -_-  Ya masa kalo kerja di Jakarta domisili KTP di Manado kudu pulang dulu.,0
"@Namaku_Mei agak dilurusin dikit, ini acara besutan 'AG peduli', ybs di tunjuk sbg brand ambasador aj, cz sebelum info ini keluar lokasi yh tersebut emang udah digunakan sebelumnya untuk vaksinasi massal vaksin covid-19 geratis,... 😊🙏",1
"Tinjau Vaksinasi di Bogor, Presiden Jokowi Harapkan Ini https://t.co/bNezdvukMc",1
"Sehat-sehat badanku.. Belum waktunya tumbang.  Jadwal vaksinasi padat merayap, kerjaan lain di Puskesmas juga numpuk.",1
"Kempen Pendaftaran Vaksinasi Covid 19 anjuran Pusat Khidmat Masyarakat Parlimen Sungai Petani diteruskan dengan menjelajah masuk ke Kampung Bukit Sera, Batu 2, Sungai Petani. https://t.co/0CajUhkLlA",1
"Permohonan dikeluarkan lantaran masih tersedianya alokasi vaksin dalam jumlah besar untuk DKI Jakarta yang akan berakhir masa simpannya pada Juni 2021. Selain itu, terdapat antusiasme yang tinggi dari masyarakat untuk mendapatkan vaksinasi Covid-19.",1
"Sebagai informasi, pelaksanaan vaksinasi tahap ke-3 diberikan menyusul adanya surat permohonan dari Pemerintah DKI Jakarta untuk melakukan vaksinasi tahap 3 bagi sasaran masyarakat rentan terkait aspek geospasial, serta sosial dan ekonomi.",1
"Sementara bagi peserta yang ingin mendaftarkan lebih dari satu orang, dapat mendaftarkan nama masing-masing peserta yang akan dilakukan vaksinasi.",1
"-Peserta mempunyai KTP DKI Jakarta atau surat keterangan domisili DKI Jakarta -Peserta membawa KTP atau surat keterangan domisili saat pelaksanaan vaksinasi Covid-19 -Bagi peserta yang memiliki penyakit kronik, dapat membawa surat kelayakan untuk divaksinasi oleh dokte",1
Ditegaskan bahwa pihak rumah sakit hanya melayani KTP DKI dan surat keterangan domisili DKI Jakarta. Adapun syarat-syarat vaksinasi Covid-19 antara lain:,1
"RSCM Jakarta menjadi salah satu rumah sakit yang memberikan pelayanan vaksin Covid-19 masyarakat umum DKI Jakarta berusia lebih dari 18 tahun. Pelayanan vaksinasi di RSCM berlangsung pukul 08.00-12.00, di Poliklinik Madya RSCM.",1
Untuk pendaftaran vaksin Covid-19 bagi warga usia 18 tahun ke atas di Jakarta dapat melalui aplikasi Peduli Lindungi atau link pendaftaran tempat vaksinasi.,1
Adapun vaksinasi dapat dilakukan di seluruh fasilitas vaksinasi DKI Jakarta.,1
Juru Bicara Vaksinasi Covid-19 Siti Nadia Tarmizi menegaskan bahwa tidak akan dipungut biaya apa pun dalam suntik vaksin Covid-19,1
Masyarakat umum di DKI Jakarta berusia di atas 18 tahun dapat melakukan suntik vaksin Covid-19. Kementerian Kesehatan @KemenkesRI telah memberikan izin pelaksanaan vaksinasi virus corona tahap ke-3 dengan target masyarakat umum di DKI Jakarta.,1
Ada yg penasaran gak sih gimana caranya bisa vaksinasi di Jakarta umur 18 keatas? yuk simak,1
Mari Dukung Percepatan Vaksinasi Massal demi tercapainya Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/JRVvhM5qEd,1
Masyarakat agar terus mengawasi jalannya program vaksinasi sehingga seluruh daerah bisa mencapai Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/QJHHrsnJOM,1
@deasi912 @ArgentianaA @didihadid_ @gloriahermawan @Yuliawati0608 Gw mau tidur cepet deas... besok vaksinasi covid-19 🙏😊,1
"Panglima TNI : TNI-Polri Dukung Program Vaksinasi Nasional, 1 Juta Vaksin Perhari https://t.co/8qZ3uZvjzj",1
"Panglima TNI : TNI-Polri Dukung Program Vaksinasi Nasional, 1 Juta Vaksin Perhari https://t.co/Xa9YlpaAzR",1
Presiden RI Tinjau Pelaksanaan Vaksinasi di Stasiun Bogor https://t.co/jXl6et8qj8,1
Mari Dukung Percepatan Vaksinasi Massal demi tercapainya Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/5OHJHfBLj9,1
Wakil Ketua MPR RI Lestari Moerdijat menilai percepatan terbentuknya kekebalan kelompok lewat program vaksinasi Covid-19 nasional penting untuk direalisasikan.  #COVID19 #covid  #COVIDー19 #mpr #mprri #lampostco https://t.co/kfNIESWyTJ,1
Masyarakat agar terus mengawasi jalannya program vaksinasi sehingga seluruh daerah bisa mencapai Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/qJf9ca2InQ,1
"Tinjau Vaksinasi 1.300 Karyawan Tekstil, Kapolri Minta Tracing dan Testing Diperkuat  Panglima TNI Marsekal TNI Dr. (H.C) Hadi Tjahjanto, S.I.P., bersama Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/wdad80lV63., meninjau langsung pelaksanaan vaksinasi . https://t.co/qoCZVBfiXr",1
Mari Dukung Percepatan Vaksinasi Massal demi tercapainya Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/LqJcyR1WHu,1
Babinsa Tunjungtejo Koramil 09/Pituruh bersama Bhabinkamtibmas Dampingi Vaksinasi Lansia https://t.co/MOFOEwRSix,1
Masyarakat agar terus mengawasi jalannya program vaksinasi sehingga seluruh daerah bisa mencapai Herd Immunity #MenujuHerdImmunity #VaksinasiCovid19 #IndonesiaSehat https://t.co/IMS4qvpITk,1
"Dukung Program Satu Juta Vaksin Per Hari, Polres Lumajang Gelar Vaksinasi Massal https://t.co/ewfOLIdRKs",1
YUK RAPATKAN BARISAN DAN LAKUKAN VAKSINASI COVID-19!  Cukup datang langsung dengan membawa persyaratan KTP DKI Jakarta/Surat keterangan domisili.  Layanan GOSHOW VAKSINASI mulai dari hari Senin s/d Jum’at dengan tempat dan waktu sesuai seperti postingan ini...,1
Reposted from Puskesmas Kecamatan Sawah Besar  Halloooo ada info terupdate nih mengenai quota dan lokasi vaksinasi untuk 18 tahun keatas!🎉 Untuk warga DKI Jakarta khususnya warga Kecamatan Sawah Besar dengan usia 18 tahun keatas dapat melakukan vaksinasi AstraZeneca loh... https://t.co/vWLE9dM8vc,1
"Tinjau Vaksinasi di Bandung, Panglima dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/88mhqIZBKf",1
"Semarang, vaksinasi perlu terus di perbanyak pak @hendrarprihadi",1
"jika perlindungan terfokus diterapkan, imunitas alami pasca infeksi diakui, testing dilakukan berbasis risiko dan proporsional, tidak asal testostes, maka anggaran vaksinasi dan testing mestinya bisa dikurangi dan dialihkan untuk insentif nakes, sarana prasarana, dan penelitian. https://t.co/zd1rkS8C5L",0
"Teman-teman,  Yang belum vaksin, dan mau vaksin, dan mau di sekitaran kuningan/setiabudi, bisa coba daftar disini ya:  https://t.co/fuZYAlEbsK",1
