tweets,sentiment
"['besok', 'jadwal', 'vaksinasi', 'masyarakat', 'stasiun', 'bogor', 'makasih']",1.0
"['vaksinasi', 'upaya', 'bendung', 'tular', 'virus', 'pandemi']",0.0
"['tinjau', 'vaksinasi', 'stasiun', 'bogor']",1.0
"['pemprov', 'dki', 'jakarta', 'resmi', 'gelar', 'vaksinasi', 'covid', 'masyarakat', 'syarat', 'usia', 'laksana', 'vaksinasi', 'prioritas', 'tenaga', 'sehat', 'kelompok', 'usia', 'layan', 'publik', 'syarat', 'daftar']",1.0
"['yasin', 'damping', 'tinjau', 'vaksinasi', 'massal', 'stadion']",1.0
"['strategi', 'tangan', 'covid', 'cepat', 'vaksinasi', 'ketat', 'ppkm', 'mikro', 'lengkap', 'klik', 'taut']",1.0
"['pilih', 'cepat', 'vaksinasi', 'pilih']",0.0
"['janji', 'vaksinasi', 'cepat', 'gagal', 'sebab', 'situasi', 'cekam', 'teror', 'covid', 'vaksin', 'dapat', 'jujur']",1.0
"['tinjau', 'vaksinasi', 'harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0
"['hati', 'vaksinasi', 'ngasuu', 'tunggang', 'kpentingan', 'rrc', 'genosida', 'selubung']",0.0
"['dengar', 'cerita', 'form', 'utama', 'vaksinasi', 'sekolah']",1.0
"['vaksinasi', 'covid', 'massal', 'laksana', 'lapang', 'ahmad', 'kirang', 'mamuju', 'sambut', 'antusiasme', 'warga']",1.0
"['ragu', 'laku', 'vaksinasi', 'covid', 'tubuh', 'lindung', 'daftar', 'pilih', 'jadwal', 'vaksinasi', 'jaki']",0.0
"['warga', 'raya', 'laku', 'vaksinasi']",1.0
"['dokumentasi', 'laksana', 'vaksinasi', 'covid', 'massal', 'pegawai', 'retail', 'modern', 'hotel', 'grand', 'asrilia', 'giat', 'selenggara', 'aprindo']",1.0
"['bentuk', 'dukung', 'program', 'cepat', 'beri', 'vaksin', 'lampung', 'gelar', 'vaksinasi', 'covid']",1.0
"['denger', 'dave', 'duta', 'vaksinasi', 'salah', 'denger']",0.0
"['vaksin', 'cek', 'rapid', 'antibodi', 'hasil', 'reaktif', 'vaksinasi', 'muncul', 'antibodi', 'lawan', 'virus', 'positif', 'swab', 'pcr', 'rapid', 'antigen', 'rapid', 'antibodi']",1.0
"['daftar', 'vaksinasi', 'covid']",1.0
"['tinggal', 'tahap', 'vaksinasi', 'usia', 'atas', 'kota', 'belah', 'buka', 'usia', 'atas']",0.0
"['analisis', 'evaluasi', 'cenderung', 'masyakarat', 'jenuh', 'terap', 'bp', 'tito', 'prokes', 'senjata', 'utama', 'putus', 'rantai', 'sebar', 'covid', 'samping', 'upaya', 'vaksinasi', 'cipta', 'kebal', 'kelompok', 'herd', 'immunity']",0.0
"['warga', 'seman', 'vaksinasi', 'covid', 'pabrik', 'rider']",0.0
"['tinjau', 'vaksinasi', 'harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0
"['warga', 'ktp', 'domisili', 'jakarta', 'usia', 'download', 'aplikasi', 'jaki', 'kunjung', 'website', 'ga', 'pusing', 'ga', 'bagi', 'nomer', 'antri']",0.0
"['yak', 'jam', 'vaksinasi', 'gua', 'kelar', 'gejala', 'pasca', 'vaksinasi', 'kayak', 'lanjut', 'jam', 'pala', 'pening', 'perut', 'asa', 'mual', 'badan', 'keringet', 'dingin']",0.0
"['parah', 'covid', 'dki', 'roket', 'lampau']",0.0
"['vaksinasi', 'program', 'juta', 'vaksin', 'covid']",1.0
"['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']",0.0
"['allah', 'ken', 'vaksinasi']",1.0
"['vaksinasi', 'cegah', 'gejala', 'berat', 'cegah', 'papar', 'lonjak', 'hrusnya', 'bijak', 'fokus', 'antisipasi', 'batas', 'faskes', 'nakes']",1.0
"['bayang', 'ketidakpastian', 'global', 'ekonomi', 'indonesia', 'potensi', 'pulih', 'resesi', 'salah', 'syarat', 'kendali', 'pandemi', 'covid', 'vaksinasi']",0.0
"['bupati', 'hartopo', 'ganjar', 'pranowo', 'damping', 'jenderal', 'sigit', 'menkes', 'ri', 'budi', 'sadikin', 'ketua', 'covid', 'ri', 'kepala', 'bnpb', 'letjen', 'ganip', 'warsito', 'tinjau', 'vaksinasi', 'laksana', 'sukun', 'tex']",1.0
"['jatah', 'vaksin', 'dinkes', 'pekanbaru', 'batas', 'vaksinasi', 'warga']",1.0
"['agnez', 'sedia', 'klinik', 'vaksinasi', 'covid', 'gratis', 'masyarakat', 'muzdalifah', 'raya', 'tambah', 'usia', 'dekat']",1.0
"['tel', 'uang', 'ratus', 'miliar', 'bingung', 'wacana', 'vaksinasi', 'udh', 'progres', 'hakikat', 'cocok', 'barbarianisme']",1.0
"['harap', 'peran', 'aktif', 'masyarakat', 'sosialisasi', 'vaksinasi']",1.0
"['somogede', 'koramil', 'pituruh', 'damping', 'vaksinasi', 'lansia']",1.0
"['menteri', 'angkut', 'wee', 'siong', 'bantu', 'cepat', 'vaksinasi', 'kalang', 'kerja', 'sektor']",1.0
"['vaksinasi', 'upaya', 'putus', 'sebar', 'covid', 'cipta', 'kebal', 'tubuh', 'lindung']",1.0
"['sebel', 'anggep', 'vaksin', 'hewan', 'alesan', 'gak', 'vaksinasi', 'turut', 'suluh', 'vaksinasi', 'sus', 'daerah', 'pencil', 'desa']",0.0
"['tuju', 'vaksinasi']",1.0
"['tinjau', 'laksana', 'vaksinasi', 'sidak', 'inspeksi', 'dadak', 'laksana', 'ppkm', 'mikro', 'bae']",1.0
"['klaster', 'vaksinasi']",1.0
"['mahukan', 'serama', 'rakyat', 'kedah', 'utama', 'kawasan', 'sungai', 'tani', 'daftar', 'vaksinasi', 'covid']",1.0
"['harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0
"['yaya', 'paham', 'sedia', 'tetep', 'panik', 'lonjak', 'banget', 'god', 'sake', 'jalan', 'liat', 'kuli', 'gapake', 'yak', 'all', 'desperate', 'wajib', 'vaksinasi', 'ampun']",1.0
"['harap', 'peran', 'aktif', 'masy', 'sosialisasi', 'program', 'vaksinasi', 'gala', 'olh', 'samping', 'stakeholder', 'kait', 'maksimal', 'ppkm', 'mikro', 'kurang', 'masyarakat', 'upaya', 'tekan', 'laju', 'tular', 'covid']",0.0
"['wapres', 'tinjau', 'laksana', 'vaksinasi', 'pemkot', 'tangerang']",1.0
"['timbul', 'kerumun', 'ombudsman', 'kepri', 'taknis', 'vaksinasi', 'kaji', 'ulang']",1.0
"['jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi', 'karyawan', 'tekstil', 'jawa']",1.0
"['jawa', 'lapor', 'dokter', 'kerja', 'medis', 'tangkap', 'vaksinasi', 'sinovac', 'doctors', 'med', 'staff', 'get', 'despite']",1.0
"['biddokkes', 'lampung', 'tubaba', 'dinkes', 'gelar', 'vaksinasi', 'massal']",1.0
"['tekan', 'covid', 'cepat', 'vaksinasi']",1.0
"['tau', 'info', 'daftar', 'vaksinasi', 'covid', 'makas']",0.0
"['strategi', 'cepat', 'vaksinasi', 'nasional']",1.0
"['vaksinasi', 'banyak', 'syarat', 'salah', 'ktp', 'vaksin', 'wni', '', 'jakarta', 'domisili', 'ktp', 'manado', 'pulang']",0.0
"['dilurusin', 'dikit', 'acara', 'besut', 'ag', 'peduli', 'ybs', 'brand', 'ambasador', 'cz', 'info', 'lokasi', 'yh', 'emang', 'vaksinasi', 'massal', 'vaksin', 'covid', 'gerat']",0.0
"['tinjau', 'vaksinasi', 'bogor', 'harap']",1.0
"['sehat', 'sehat', 'badan', 'tumbang', 'jadwal', 'vaksinasi', 'padat', 'rayap', 'kerja', 'numpuk']",1.0
"['kempen', 'daftar', 'vaksinasi', 'covid', 'anjur', 'pusat', 'khidmat', 'masyarakat', 'parlimen', 'sungai', 'tani', 'terus', 'jelajah', 'kampung', 'bukit', 'sera', 'batu', 'sungai', 'tani']",1.0
"['mohon', 'keluar', 'lantar', 'sedia', 'alokasi', 'vaksin', 'dki', 'jakarta', 'simpan', 'antusiasme', 'masyarakat', 'vaksinasi', 'covid']",1.0
"['informasi', 'laksana', 'vaksinasi', 'tahap', 'susul', 'surat', 'mohon', 'dki', 'jakarta', 'vaksinasi', 'tahap', 'sasar', 'masyarakat', 'rentan', 'kait', 'aspek', 'geospasial', 'sosial', 'ekonomi']",1.0
"['serta', 'daftar', 'daftar', 'nama', 'serta', 'vaksinasi']",1.0
"['serta', 'ktp', 'dki', 'jakarta', 'surat', 'terang', 'domisili', 'dki', 'jakarta', 'serta', 'bawa', 'ktp', 'surat', 'terang', 'domisili', 'laksana', 'vaksinasi', 'covid', 'serta', 'milik', 'sakit', 'kronik', 'bawa', 'surat', 'layak', 'vaksinasi', 'dokte']",1.0
"['rumah', 'sakit', 'layan', 'ktp', 'dki', 'surat', 'terang', 'domisili', 'dki', 'jakarta', 'syarat', 'syarat', 'vaksinasi', 'covid']",1.0
"['rscm', 'jakarta', 'salah', 'rumah', 'sakit', 'layan', 'vaksin', 'covid', 'masyarakat', 'dki', 'jakarta', 'usia', 'layan', 'vaksinasi', 'rscm', 'poliklinik', 'madya', 'rscm']",0.0
"['daftar', 'vaksin', 'covid', 'warga', 'usia', 'jakarta', 'aplikasi', 'peduli', 'lindung', 'link', 'daftar', 'vaksinasi']",1.0
"['vaksinasi', 'fasilitas', 'vaksinasi', 'dki', 'jakarta']",1.0
"['juru', 'bicara', 'vaksinasi', 'covid', 'siti', 'nadia', 'tarmizi', 'pungut', 'biaya', 'suntik', 'vaksin', 'covid']",1.0
"['masyarakat', 'dki', 'jakarta', 'usia', 'suntik', 'vaksin', 'covid', 'menteri', 'sehat', 'izin', 'laksana', 'vaksinasi', 'virus', 'corona', 'tahap', 'target', 'masyarakat', 'dki', 'jakarta']",1.0
"['penasaran', 'gak', 'vaksinasi', 'jakarta', 'umur', 'atas', 'simak']",1.0
"['dukung', 'cepat', 'vaksinasi', 'massal', 'capa', 'herd', 'immunity']",1.0
"['masyarakat', 'awas', 'jalan', 'program', 'vaksinasi', 'daerah', 'capai', 'herd', 'immunity']",1.0
"['tidur', 'cepet', 'deas', 'besok', 'vaksinasi', 'covid']",1.0
"['dukung', 'program', 'vaksinasi', 'nasional', 'juta', 'vaksin', 'hari']",1.0
"['ri', 'tinjau', 'laksana', 'vaksinasi', 'stasiun', 'bogor']",1.0
"['wakil', 'ketua', 'mpr', 'ri', 'lestari', 'moerdijat', 'nilai', 'cepat', 'bentuk', 'kebal', 'kelompok', 'program', 'vaksinasi', 'covid', 'nasional', 'realisasi']",1.0
"['tunjungtejo', 'koramil', 'pituruh', 'damping', 'vaksinasi', 'lansia']",1.0
"['dukung', 'program', 'juta', 'vaksin', 'lumajang', 'gelar', 'vaksinasi', 'massal']",1.0
"['rapat', 'baris', 'laku', 'vaksinasi', 'covid', 'bawa', 'syarat', 'ktp', 'dki', 'jakarta', 'surat', 'terang', 'domisili', 'layan', 'goshow', 'vaksinasi', 'senin', 'jum', 'sesuai', 'postingan']",1.0
"['reposted', 'sawah', 'halloooo', 'info', 'terupdate', 'quota', 'lokasi', 'vaksinasi', 'atas', 'warga', 'dki', 'jakarta', 'warga', 'sawah', 'usia', 'atas', 'vaksinasi', 'astrazeneca']",0.0
"['semarang', 'vaksinasi', 'banyak']",1.0
"['lindung', 'fokus', 'terap', 'imunitas', 'alami', 'pasca', 'infeksi', 'aku', 'testing', 'bas', 'risiko', 'proporsional', 'testostes', 'anggar', 'vaksinasi', 'testing', 'mesti', 'rang', 'alih', 'insentif', 'nakes', 'sarana', 'prasarana', 'teliti']",1.0
"['teman', 'teman', 'vaksin', 'vaksin', 'sekitar', 'kuningan', 'setiabudi', 'coba', 'daftar']",1.0
"['tenda', 'vaksinasi', 'massal', 'stadion', 'ambruk', 'proses', 'vaksinasi', 'pindah', 'area', 'area']",0.0
"['jaga', 'jarak', 'keliar', 'rumah', 'vaksinasi']",1.0
"['kadus', 'vaksinasi', 'pulau', 'sumenep']",1.0
"['hut', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']",1.0
"['tulangbawang', 'lampung', 'gelar', 'vaksinasi', 'massal', 'tahap', 'sasar', 'utama', 'warga', 'usia', 'lansia']",1.0
"['damping', 'tinjau', 'vaksinasi', 'massal', 'covid', 'bogor']",1.0
"['damping', 'gertak', 'vaksinasi', 'ppkm', 'mikro', 'personel', 'koramil', 'tembuku']",0.0
"['sebut', 'cepat', 'vaksinasi', 'nasional', 'jawa', 'tekan', 'laju', 'sebar', 'positif', 'covid']",1.0
"['gelombang', 'vaksinasi', 'kota']",1.0
"['boleh', 'vaksinasi', 'fasilitas', 'sehat', 'sesuai', 'domisili', 'ktp', 'lokasi', 'tinggal', 'terima', 'kasih']",1.0
"['pas', 'vaksin', 'az', 'suruh', 'minum', 'sanmol', 'vaksinasi', 'malemnya', 'demam', 'pagi', 'turun', 'minum', 'sanmol', 'malemnya', 'turun', 'sehat', 'sakit', 'dikit', 'tempat', 'tusuk', 'vaksin']",0.0
"['sidang', 'suka', 'hati', 'pm', 'janji', 'dh', 'lengkap', 'vaksinasi', 'benar', 'rentas', 'negeri']",1.0
"['informasi', 'hubung', 'hotline', 'vaksinasi', 'covid', 'sehat']",1.0
"['reposted', 'johar', 'sahabat', 'sehat', 'johar', 'giat', 'vaksinasi', 'covid', 'duduk', 'usia', 'atas', 'vaksinasi']",1.0
"['vaksinasi', 'interaksi', 'cepat']",1.0
"['informasi', 'kait', 'vaksinasi', 'covid', 'non', 'lansia', 'ktp', 'depok']",1.0
"['vaksinasi', 'covid', 'efek', 'samping', 'rasa', 'salah', 'satu', 'badan', 'pegal', 'normal', 'tanda', 'tubuh', 'lindung', 'antibodi', 'ladies']",0.0
"['kunjung', 'bogor', 'vaksinasi', 'cepat']",1.0
"['program', 'vaksinasi', 'indonesia', 'banget', 'target']",1.0
"['nganjuk', 'vaksinasi', 'covid', 'ribu', 'warga']",1.0
"['kon', 'tau', 'tha', 'kemudi', 'bluebird', 'surabaya', 'medan', 'vaksin', 'total', 'ngelakuin', 'vaksinasi', 'mandiri', 'kota', 'kota', 'jabodetabek', 'lombok', 'bal', 'moga', 'jalan']",0.0
"['ladies', 'vaksinasi', 'covid', 'cegah', 'sebar', 'virus', 'upaya', 'tingkat', 'imun', 'tubuh', 'mudah', 'jangkit', 'virus', 'vaksin', 'tahu']",1.0
"['pilih', 'tunggu', 'turn', 'vaksinasi']",0.0
"['vaksinasi', 'imunisasi', 'mana', 'sesuai', 'vaksinasi', 'imunisasi']",1.0
['valid'],1.0
"['malut', 'sukses', 'vaksinasi', 'nasional', 'terima']",1.0
"['lokasi', 'batam', 'vaksin', 'covid', 'lokasi', 'kerumun', 'massa', 'atas', 'vaksin']",0.0
"['contoh', 'putrajaya', 'duduk', 'ribu', 'agih', 'vaksin', 'tesebut', 'putrajaya', 'lengkap', 'vaksinasi', 'tesebut', 'jesteru', 'putrajaya', 'tutup', 'populasi', 'negeri', 'vaksinasi', 'lengkap', 'singkat', 'agih', 'vaksinasi']",0.0
"['vaksinasi', 'solusi', 'anggap', 'kurang', 'infeksi', 'virus', 'covid', 'mutasi', 'negara', 'indonesia']",1.0
"['jejas', 'vaksin', 'agih', 'laksana', 'cadang', 'laksana', 'pkp', 'malaysia', 'lengkap', 'vaksinasi', 'negeri', 'negeri']",1.0
"['program', 'saring', 'vaksinasi', 'covid', 'gelandang', 'wpkl', 'anjung', 'kelana', 'jom', 'ambik', 'vaksin', 'baik']",1.0
"['bas', 'tenda', 'milik', 'bnpb', 'bpbd', 'lokasi', 'vaksinasi', 'massal', 'stadion', 'via']",1.0
"['arsel', 'aiptu', 'nurhadi', 'monitoring', 'giat', 'vaksinasi', 'massal', 'aula', 'ppk']",1.0
"['cepat', 'vaksinasi', 'covid', 'jombang']",1.0
"['better', 'stop', 'politik', 'kejap', 'ydpa', 'lantik', 'lead', 'negara', 'vaksinasi', 'selesai', 'anwar', 'tun', 'lantik', 'betuk', 'nak', 'pulih', 'negara']",1.0
"['kolam', 'koramil', 'laksana', 'aman', 'vaksinasi', 'bga']",0.0
"['dasar', 'analisis', 'evaluasi', 'tito', 'cenderung', 'masyakarat', 'jenuh', 'terap', 'prokes', 'senjata', 'utama', 'putus', 'rantai', 'sebar', 'covid', 'samping', 'upaya', 'vaksinasi']",0.0
"['susah', 'banget', 'sore', 'isi', 'tambah', 'kapasitas', 'daftar', 'vaksinasi', 'vaksin', 'males']",1.0
"['pura', 'target', 'vaksinasi', 'covid', 'karyawan', 'tuntas']",1.0
"['bikin', 'demam', 'bikin', 'jalan', 'macet', 'vaksinasi']",1.0
"['kembang', 'vaksinasi', 'covid', 'indonesia', 'tanggal', 'wib']",0.0
"['giat', 'pam', 'vaksinasi', 'covid', 'wilkum', 'bangun', 'purba', 'selamat', 'siang', 'komandan', 'ijin', 'lapor', 'giat', 'pam', 'vaksinasi', 'covid', 'tahap', 'wilkum', 'bangun', 'purba', '', 'sbb', 'dasar', 'undang', 'undang', 'nomor', 'polisi', 'negara', 'republik', 'indonesia']",1.0
"['dashboard', 'vaksinasi', 'saji', 'informasi', 'aktual', 'covid', 'indonesia']",1.0
"['vaksinasi', 'interaksi', 'cepat', 'publik', 'stasiun', 'bus', 'labuh', 'prioritas']",1.0
"['politeknik', 'ati', 'makassar', 'laksana', 'vaksinasi', 'covid', 'dosis', 'makassar', 'politeknik', 'ati', 'makassar', 'vaksinasi', 'covid', 'dosis', 'laksana', 'aula', 'kampus']",0.0
"['proses', 'vaksinasi', 'jalan', 'jamin', 'vaksin', 'simpan', 'aman']",0.0
"['tinjau', 'vaksinasi', 'masyarakat', 'stadion', 'bogor']",1.0
"['vaksinasi', 'massal', 'covid', 'kawasan', 'pasar', 'tanah', 'abang']",1.0
"['cegah', 'covid', 'vaksinasi', 'tanah', 'air', 'beta']",0.0
"['cepat', 'vaksinasi', 'stasiun', 'labuh']",1.0
"['terjang', 'badai', 'tenda', 'vaksinasi', 'covid', 'porak', 'poranda', 'terima', 'tugas', 'vaksin', 'evakuasi']",0.0
"['jubir', 'tiongkok', 'darat', 'atur', 'vaksinasi', 'tiongkok', 'darat', 'rekan', 'negara', 'taiwan', 'tunjuk', 'kasih', 'sayang']",1.0
"['vaksinasi', 'stasiun', 'lingkung', 'harap', 'masyarakat', 'lindung', 'covid', 'lawan', 'pandemi']",1.0
"['laksana', 'vaksinasi', 'masal', 'bas', 'banjar', 'singapadu', 'kaler']",1.0
"['abis', 'vaksinasi', 'mau', 'sender', 'mulu', 'kaya', 'cakwe']",1.0
"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat', 'jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi', 'karyawan', 'tekstil', 'jawa']",1.0
"['vaksinasi', 'interaksi', 'cepat', 'publik', 'stasiun', 'bus', 'labuh', 'prioritas']",1.0
"['tingkat', 'lonjak', 'varian', 'covid', 'indonesia', 'ambil', 'langkah', 'cepat', 'vaksinasi', 'masyarakat']",1.0
"['vaksinasi', 'massal', 'rangka', 'magetan', 'rangka', 'ingat', 'hut', 'magetan', 'gelar', 'giat', 'vaksinasi', 'covid', 'massal', 'giat', 'laksana', 'gedung', 'pesat', 'gatra', 'magetan']",1.0
"['edisi', 'dukung', 'program', 'vaksinasi', 'nasional', 'juta', 'vaksin', 'hari']",1.0
"['tugas', 'juanda', 'jalan', 'vaksinasi']",0.0
"['bogor', 'salah', 'wilayah', 'aglomerasi', 'sangga', 'kota', 'jakarta', 'tingkat', 'interaksi', 'duduk', 'vaksinasi', 'interaksi', 'cepat', 'lawan', 'pandemi']",1.0
"['sibuk', 'ngawasin', 'vaksinasi']",1.0
"['personil', 'jabiren', 'raya', 'aman', 'vaksinasi', 'tahap', 'covid', 'lansia', 'layan', 'publik', 'masyarakat', 'posyando', 'tumbang', 'nusa']",1.0
"['besok', 'vaksinasi']",1.0
"['klinik', 'permisi', 'bu', 'vaksinasi', 'daftar', 'bpk', 'ruang', 'smbl', 'nunjuk', 'verifikasi', 'identitas', 'bu', 'daftar', 'vaksinasi', 'daftar', 'akun', 'biar', 'centang', 'biru', 'badmood']",0.0
"['data', 'vaksinasi', 'dosis', 'terima', 'vaksin', 'covid', 'lengkap', 'dosis', 'persentase', 'vaksinasi', 'lengkap', 'capai', 'persen']",1.0
"['vaksinasi', 'covid', 'massal', 'kota', 'bekas', 'target', 'suntik', 'ribu']",0.0
"['wujud', 'masyarakat', 'sehat', 'produktif', 'vaksinasi', 'covid']",1.0
"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat']",1.0
"['syarat', 'bawa', 'lansia']",1.0
"['dapet', 'info', 'temen', 'sudirman', 'ballroom', 'cuman', 'sampe', 'skrng', 'dapet', 'info', 'valid', 'temen', 'admin', 'vaksinasi', 'usia', 'jakarta']",0.0
"['cicalengka', 'wetan', 'gelar', 'vaksinasi', 'lansia', 'sekdes', 'warga', 'antusias']",1.0
"['terjang', 'stadion', 'tenda', 'vaksinasi', 'massal', 'runtuh']",0.0
"['tinjau', 'vaksinasi', 'massal', 'menkes', 'tembus', 'juta']",1.0
"['lokasi', 'vaksinasi', 'covid', 'warga', 'dki', 'jakarta', 'usia', 'warga', 'non', 'dki', 'jakarta']",1.0
"['tinjau', 'vaksinasi', 'harap']",1.0
"['respon', 'maklum', 'komentar', 'tenggelam', 'komentar', 'netizen', 'kalbar', 'mayoritas', 'percaya', 'bahaya', 'covid', 'asli', 'miris', 'isi', 'kolom', 'komentar', 'postingan', 'prokes', 'vaksinasi']",1.0
"['sukses', 'vaksinasi', 'covid', 'kota', 'sukabumi', 'moga', 'pandemi']",0.0
"['daftar', 'vaksinasi', 'fasilitas', 'sehat', 'dekat', 'unjung', 'situs', 'aplikasi', 'jaki']",1.0
"['sasar', 'vaksinasi', 'provinsi', 'dki', 'jakarta', 'warga', 'jakarta', 'sehat', 'usia', 'milik', 'ktp', 'dki', 'jakarta', 'surat', 'terang', 'domisili', 'surat', 'terang', 'jakarta']",1.0
"['bogor', 'buka', 'vaksinasi']",1.0
