,tweets,label,sentiment
77,"['sebel', 'anggep', 'vaksin', 'hewan', 'alesan', 'gak', 'vaksinasi', 'turut', 'suluh', 'vaksinasi', 'sus', 'daerah', 'pencil', 'desa']",0.0,0.0
78,"['tuju', 'vaksinasi']",1.0,1.0
79,"['tinjau', 'laksana', 'vaksinasi', 'sidak', 'inspeksi', 'dadak', 'laksana', 'ppkm', 'mikro', 'bae']",1.0,1.0
80,"['klaster', 'vaksinasi']",0.0,1.0
81,"['mahukan', 'serama', 'rakyat', 'kedah', 'utama', 'kawasan', 'sungai', 'tani', 'daftar', 'vaksinasi', 'covid']",1.0,1.0
82,"['harap', 'program', 'vaksinasi', 'juta', 'capai']",1.0,1.0
83,"['yaya', 'paham', 'sedia', 'tetep', 'panik', 'lonjak', 'banget', 'god', 'sake', 'jalan', 'liat', 'kuli', 'gapake', 'yak', 'all', 'desperate', 'wajib', 'vaksinasi', 'ampun']",0.0,1.0
84,"['harap', 'peran', 'aktif', 'masy', 'sosialisasi', 'program', 'vaksinasi', 'gala', 'olh', 'samping', 'stakeholder', 'kait', 'maksimal', 'ppkm', 'mikro', 'kurang', 'masyarakat', 'upaya', 'tekan', 'laju', 'tular', 'covid']",1.0,0.0
85,"['wapres', 'tinjau', 'laksana', 'vaksinasi', 'pemkot', 'tangerang']",1.0,1.0
86,"['timbul', 'kerumun', 'ombudsman', 'kepri', 'taknis', 'vaksinasi', 'kaji', 'ulang']",0.0,1.0
87,"['jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi', 'karyawan', 'tekstil', 'jawa']",1.0,1.0
88,"['jawa', 'lapor', 'dokter', 'kerja', 'medis', 'tangkap', 'vaksinasi', 'sinovac', 'doctors', 'med', 'staff', 'get', 'despite']",0.0,1.0
89,"['biddokkes', 'lampung', 'tubaba', 'dinkes', 'gelar', 'vaksinasi', 'massal']",1.0,1.0
90,"['tekan', 'covid', 'cepat', 'vaksinasi']",1.0,1.0
91,"['tau', 'info', 'daftar', 'vaksinasi', 'covid', 'makas']",1.0,0.0
92,"['strategi', 'cepat', 'vaksinasi', 'nasional']",1.0,1.0
93,"['vaksinasi', 'banyak', 'syarat', 'salah', 'ktp', 'vaksin', 'wni', '', 'jakarta', 'domisili', 'ktp', 'manado', 'pulang']",0.0,0.0
94,"['dilurusin', 'dikit', 'acara', 'besut', 'ag', 'peduli', 'ybs', 'brand', 'ambasador', 'cz', 'info', 'lokasi', 'yh', 'emang', 'vaksinasi', 'massal', 'vaksin', 'covid', 'gerat']",1.0,0.0
95,"['tinjau', 'vaksinasi', 'bogor', 'harap']",1.0,1.0
96,"['sehat', 'sehat', 'badan', 'tumbang', 'jadwal', 'vaksinasi', 'padat', 'rayap', 'kerja', 'numpuk']",1.0,1.0
97,"['kempen', 'daftar', 'vaksinasi', 'covid', 'anjur', 'pusat', 'khidmat', 'masyarakat', 'parlimen', 'sungai', 'tani', 'terus', 'jelajah', 'kampung', 'bukit', 'sera', 'batu', 'sungai', 'tani']",1.0,1.0
98,"['mohon', 'keluar', 'lantar', 'sedia', 'alokasi', 'vaksin', 'dki', 'jakarta', 'simpan', 'antusiasme', 'masyarakat', 'vaksinasi', 'covid']",1.0,1.0
99,"['informasi', 'laksana', 'vaksinasi', 'tahap', 'susul', 'surat', 'mohon', 'dki', 'jakarta', 'vaksinasi', 'tahap', 'sasar', 'masyarakat', 'rentan', 'kait', 'aspek', 'geospasial', 'sosial', 'ekonomi']",1.0,1.0
100,"['serta', 'daftar', 'daftar', 'nama', 'serta', 'vaksinasi']",1.0,1.0
101,"['serta', 'ktp', 'dki', 'jakarta', 'surat', 'terang', 'domisili', 'dki', 'jakarta', 'serta', 'bawa', 'ktp', 'surat', 'terang', 'domisili', 'laksana', 'vaksinasi', 'covid', 'serta', 'milik', 'sakit', 'kronik', 'bawa', 'surat', 'layak', 'vaksinasi', 'dokte']",1.0,1.0
102,"['rumah', 'sakit', 'layan', 'ktp', 'dki', 'surat', 'terang', 'domisili', 'dki', 'jakarta', 'syarat', 'syarat', 'vaksinasi', 'covid']",1.0,1.0
103,"['rscm', 'jakarta', 'salah', 'rumah', 'sakit', 'layan', 'vaksin', 'covid', 'masyarakat', 'dki', 'jakarta', 'usia', 'layan', 'vaksinasi', 'rscm', 'poliklinik', 'madya', 'rscm']",1.0,0.0
104,"['daftar', 'vaksin', 'covid', 'warga', 'usia', 'jakarta', 'aplikasi', 'peduli', 'lindung', 'link', 'daftar', 'vaksinasi']",1.0,1.0
105,"['vaksinasi', 'fasilitas', 'vaksinasi', 'dki', 'jakarta']",1.0,1.0
106,"['juru', 'bicara', 'vaksinasi', 'covid', 'siti', 'nadia', 'tarmizi', 'pungut', 'biaya', 'suntik', 'vaksin', 'covid']",1.0,1.0
107,"['masyarakat', 'dki', 'jakarta', 'usia', 'suntik', 'vaksin', 'covid', 'menteri', 'sehat', 'izin', 'laksana', 'vaksinasi', 'virus', 'corona', 'tahap', 'target', 'masyarakat', 'dki', 'jakarta']",1.0,1.0
108,"['penasaran', 'gak', 'vaksinasi', 'jakarta', 'umur', 'atas', 'simak']",1.0,1.0
109,"['dukung', 'cepat', 'vaksinasi', 'massal', 'capa', 'herd', 'immunity']",1.0,1.0
110,"['masyarakat', 'awas', 'jalan', 'program', 'vaksinasi', 'daerah', 'capai', 'herd', 'immunity']",1.0,1.0
111,"['tidur', 'cepet', 'deas', 'besok', 'vaksinasi', 'covid']",1.0,1.0
112,"['dukung', 'program', 'vaksinasi', 'nasional', 'juta', 'vaksin', 'hari']",1.0,1.0
113,"['ri', 'tinjau', 'laksana', 'vaksinasi', 'stasiun', 'bogor']",1.0,1.0
114,"['wakil', 'ketua', 'mpr', 'ri', 'lestari', 'moerdijat', 'nilai', 'cepat', 'bentuk', 'kebal', 'kelompok', 'program', 'vaksinasi', 'covid', 'nasional', 'realisasi']",1.0,1.0
115,"['tunjungtejo', 'koramil', 'pituruh', 'damping', 'vaksinasi', 'lansia']",1.0,1.0
116,"['dukung', 'program', 'juta', 'vaksin', 'lumajang', 'gelar', 'vaksinasi', 'massal']",1.0,1.0
117,"['rapat', 'baris', 'laku', 'vaksinasi', 'covid', 'bawa', 'syarat', 'ktp', 'dki', 'jakarta', 'surat', 'terang', 'domisili', 'layan', 'goshow', 'vaksinasi', 'senin', 'jum', 'sesuai', 'postingan']",1.0,1.0
118,"['reposted', 'sawah', 'halloooo', 'info', 'terupdate', 'quota', 'lokasi', 'vaksinasi', 'atas', 'warga', 'dki', 'jakarta', 'warga', 'sawah', 'usia', 'atas', 'vaksinasi', 'astrazeneca']",1.0,0.0
119,"['semarang', 'vaksinasi', 'banyak']",1.0,1.0
120,"['lindung', 'fokus', 'terap', 'imunitas', 'alami', 'pasca', 'infeksi', 'aku', 'testing', 'bas', 'risiko', 'proporsional', 'testostes', 'anggar', 'vaksinasi', 'testing', 'mesti', 'rang', 'alih', 'insentif', 'nakes', 'sarana', 'prasarana', 'teliti']",0.0,1.0
121,"['teman', 'teman', 'vaksin', 'vaksin', 'sekitar', 'kuningan', 'setiabudi', 'coba', 'daftar']",1.0,1.0
122,"['tenda', 'vaksinasi', 'massal', 'stadion', 'ambruk', 'proses', 'vaksinasi', 'pindah', 'area', 'area']",0.0,0.0
123,"['jaga', 'jarak', 'keliar', 'rumah', 'vaksinasi']",1.0,1.0
124,"['kadus', 'vaksinasi', 'pulau', 'sumenep']",1.0,1.0
125,"['hut', 'lumajang', 'gelar', 'vaksinasi', 'covid', 'massal']",1.0,1.0
126,"['tulangbawang', 'lampung', 'gelar', 'vaksinasi', 'massal', 'tahap', 'sasar', 'utama', 'warga', 'usia', 'lansia']",1.0,1.0
127,"['damping', 'tinjau', 'vaksinasi', 'massal', 'covid', 'bogor']",1.0,1.0
128,"['damping', 'gertak', 'vaksinasi', 'ppkm', 'mikro', 'personel', 'koramil', 'tembuku']",1.0,0.0
129,"['sebut', 'cepat', 'vaksinasi', 'nasional', 'jawa', 'tekan', 'laju', 'sebar', 'positif', 'covid']",1.0,1.0
130,"['gelombang', 'vaksinasi', 'kota']",1.0,1.0
131,"['boleh', 'vaksinasi', 'fasilitas', 'sehat', 'sesuai', 'domisili', 'ktp', 'lokasi', 'tinggal', 'terima', 'kasih']",1.0,1.0
132,"['pas', 'vaksin', 'az', 'suruh', 'minum', 'sanmol', 'vaksinasi', 'malemnya', 'demam', 'pagi', 'turun', 'minum', 'sanmol', 'malemnya', 'turun', 'sehat', 'sakit', 'dikit', 'tempat', 'tusuk', 'vaksin']",0.0,0.0
133,"['sidang', 'suka', 'hati', 'pm', 'janji', 'dh', 'lengkap', 'vaksinasi', 'benar', 'rentas', 'negeri']",1.0,1.0
134,"['informasi', 'hubung', 'hotline', 'vaksinasi', 'covid', 'sehat']",1.0,1.0
135,"['reposted', 'johar', 'sahabat', 'sehat', 'johar', 'giat', 'vaksinasi', 'covid', 'duduk', 'usia', 'atas', 'vaksinasi']",1.0,1.0
136,"['vaksinasi', 'interaksi', 'cepat']",1.0,1.0
137,"['informasi', 'kait', 'vaksinasi', 'covid', 'non', 'lansia', 'ktp', 'depok']",1.0,1.0
138,"['vaksinasi', 'covid', 'efek', 'samping', 'rasa', 'salah', 'satu', 'badan', 'pegal', 'normal', 'tanda', 'tubuh', 'lindung', 'antibodi', 'ladies']",0.0,0.0
139,"['kunjung', 'bogor', 'vaksinasi', 'cepat']",1.0,1.0
140,"['program', 'vaksinasi', 'indonesia', 'banget', 'target']",0.0,1.0
141,"['nganjuk', 'vaksinasi', 'covid', 'ribu', 'warga']",1.0,1.0
142,"['kon', 'tau', 'tha', 'kemudi', 'bluebird', 'surabaya', 'medan', 'vaksin', 'total', 'ngelakuin', 'vaksinasi', 'mandiri', 'kota', 'kota', 'jabodetabek', 'lombok', 'bal', 'moga', 'jalan']",1.0,0.0
143,"['ladies', 'vaksinasi', 'covid', 'cegah', 'sebar', 'virus', 'upaya', 'tingkat', 'imun', 'tubuh', 'mudah', 'jangkit', 'virus', 'vaksin', 'tahu']",1.0,1.0
144,"['pilih', 'tunggu', 'turn', 'vaksinasi']",1.0,0.0
145,"['vaksinasi', 'imunisasi', 'mana', 'sesuai', 'vaksinasi', 'imunisasi']",1.0,1.0
146,['valid'],1.0,1.0
147,"['malut', 'sukses', 'vaksinasi', 'nasional', 'terima']",1.0,1.0
148,"['lokasi', 'batam', 'vaksin', 'covid', 'lokasi', 'kerumun', 'massa', 'atas', 'vaksin']",1.0,0.0
149,"['contoh', 'putrajaya', 'duduk', 'ribu', 'agih', 'vaksin', 'tesebut', 'putrajaya', 'lengkap', 'vaksinasi', 'tesebut', 'jesteru', 'putrajaya', 'tutup', 'populasi', 'negeri', 'vaksinasi', 'lengkap', 'singkat', 'agih', 'vaksinasi']",0.0,0.0
150,"['vaksinasi', 'solusi', 'anggap', 'kurang', 'infeksi', 'virus', 'covid', 'mutasi', 'negara', 'indonesia']",1.0,1.0
151,"['jejas', 'vaksin', 'agih', 'laksana', 'cadang', 'laksana', 'pkp', 'malaysia', 'lengkap', 'vaksinasi', 'negeri', 'negeri']",1.0,1.0
152,"['program', 'saring', 'vaksinasi', 'covid', 'gelandang', 'wpkl', 'anjung', 'kelana', 'jom', 'ambik', 'vaksin', 'baik']",1.0,1.0
153,"['bas', 'tenda', 'milik', 'bnpb', 'bpbd', 'lokasi', 'vaksinasi', 'massal', 'stadion', 'via']",1.0,1.0
154,"['arsel', 'aiptu', 'nurhadi', 'monitoring', 'giat', 'vaksinasi', 'massal', 'aula', 'ppk']",1.0,1.0
155,"['cepat', 'vaksinasi', 'covid', 'jombang']",1.0,1.0
156,"['better', 'stop', 'politik', 'kejap', 'ydpa', 'lantik', 'lead', 'negara', 'vaksinasi', 'selesai', 'anwar', 'tun', 'lantik', 'betuk', 'nak', 'pulih', 'negara']",0.0,1.0
157,"['kolam', 'koramil', 'laksana', 'aman', 'vaksinasi', 'bga']",1.0,0.0
158,"['dasar', 'analisis', 'evaluasi', 'tito', 'cenderung', 'masyakarat', 'jenuh', 'terap', 'prokes', 'senjata', 'utama', 'putus', 'rantai', 'sebar', 'covid', 'samping', 'upaya', 'vaksinasi']",0.0,0.0
159,"['susah', 'banget', 'sore', 'isi', 'tambah', 'kapasitas', 'daftar', 'vaksinasi', 'vaksin', 'males']",0.0,1.0
160,"['pura', 'target', 'vaksinasi', 'covid', 'karyawan', 'tuntas']",1.0,1.0
161,"['bikin', 'demam', 'bikin', 'jalan', 'macet', 'vaksinasi']",0.0,1.0
162,"['kembang', 'vaksinasi', 'covid', 'indonesia', 'tanggal', 'wib']",1.0,0.0
163,"['giat', 'pam', 'vaksinasi', 'covid', 'wilkum', 'bangun', 'purba', 'selamat', 'siang', 'komandan', 'ijin', 'lapor', 'giat', 'pam', 'vaksinasi', 'covid', 'tahap', 'wilkum', 'bangun', 'purba', '', 'sbb', 'dasar', 'undang', 'undang', 'nomor', 'polisi', 'negara', 'republik', 'indonesia']",1.0,1.0
164,"['dashboard', 'vaksinasi', 'saji', 'informasi', 'aktual', 'covid', 'indonesia']",1.0,1.0
165,"['vaksinasi', 'interaksi', 'cepat', 'publik', 'stasiun', 'bus', 'labuh', 'prioritas']",1.0,1.0
166,"['politeknik', 'ati', 'makassar', 'laksana', 'vaksinasi', 'covid', 'dosis', 'makassar', 'politeknik', 'ati', 'makassar', 'vaksinasi', 'covid', 'dosis', 'laksana', 'aula', 'kampus']",1.0,0.0
167,"['proses', 'vaksinasi', 'jalan', 'jamin', 'vaksin', 'simpan', 'aman']",1.0,0.0
168,"['tinjau', 'vaksinasi', 'masyarakat', 'stadion', 'bogor']",1.0,1.0
169,"['vaksinasi', 'massal', 'covid', 'kawasan', 'pasar', 'tanah', 'abang']",1.0,1.0
170,"['cegah', 'covid', 'vaksinasi', 'tanah', 'air', 'beta']",1.0,0.0
171,"['cepat', 'vaksinasi', 'stasiun', 'labuh']",1.0,1.0
172,"['terjang', 'badai', 'tenda', 'vaksinasi', 'covid', 'porak', 'poranda', 'terima', 'tugas', 'vaksin', 'evakuasi']",0.0,0.0
173,"['jubir', 'tiongkok', 'darat', 'atur', 'vaksinasi', 'tiongkok', 'darat', 'rekan', 'negara', 'taiwan', 'tunjuk', 'kasih', 'sayang']",1.0,1.0
174,"['vaksinasi', 'stasiun', 'lingkung', 'harap', 'masyarakat', 'lindung', 'covid', 'lawan', 'pandemi']",1.0,1.0
175,"['laksana', 'vaksinasi', 'masal', 'bas', 'banjar', 'singapadu', 'kaler']",1.0,1.0
176,"['abis', 'vaksinasi', 'mau', 'sender', 'mulu', 'kaya', 'cakwe']",0.0,1.0
177,"['tinjau', 'vaksinasi', 'karyawan', 'tekstil', 'tracing', 'testing', 'kuat', 'jenderal', 'sigit', 'tinjau', 'laksana', 'vaksinasi', 'karyawan', 'tekstil', 'jawa']",1.0,1.0
178,"['vaksinasi', 'interaksi', 'cepat', 'publik', 'stasiun', 'bus', 'labuh', 'prioritas']",1.0,1.0
179,"['tingkat', 'lonjak', 'varian', 'covid', 'indonesia', 'ambil', 'langkah', 'cepat', 'vaksinasi', 'masyarakat']",0.0,1.0
180,"['vaksinasi', 'massal', 'rangka', 'magetan', 'rangka', 'ingat', 'hut', 'magetan', 'gelar', 'giat', 'vaksinasi', 'covid', 'massal', 'giat', 'laksana', 'gedung', 'pesat', 'gatra', 'magetan']",1.0,1.0
181,"['edisi', 'dukung', 'program', 'vaksinasi', 'nasional', 'juta', 'vaksin', 'hari']",1.0,1.0
182,"['tugas', 'juanda', 'jalan', 'vaksinasi']",1.0,0.0
183,"['bogor', 'salah', 'wilayah', 'aglomerasi', 'sangga', 'kota', 'jakarta', 'tingkat', 'interaksi', 'duduk', 'vaksinasi', 'interaksi', 'cepat', 'lawan', 'pandemi']",1.0,1.0
184,"['sibuk', 'ngawasin', 'vaksinasi']",0.0,1.0
185,"['personil', 'jabiren', 'raya', 'aman', 'vaksinasi', 'tahap', 'covid', 'lansia', 'layan', 'publik', 'masyarakat', 'posyando', 'tumbang', 'nusa']",1.0,1.0
186,"['besok', 'vaksinasi']",1.0,1.0
